CÓDIGO,AÑO,ENE,FEB.,MAR.,ABR.,MAY.,JUN.,JUL.,AGO.,SEP.,OCT.,NOV.,DIC.
146059-IOQ,2017,0,0,0,0,0,0,0,0,0,0,12,19
146063-SOA,2017,0,0,0,0,0,0,0,0,0,0,0,16
146068-LOT,2017,0,0,0,0,0,0,0,0,0,0,0,16
146071-MOU,2017,0,0,0,0,0,0,0,0,2,2,8,2
146072-VOD,2017,0,0,0,0,0,0,0,0,0,0,25,3
146073-EOM,2017,0,0,0,0,0,0,0,0,0,0,0,1
146074-NOV,2017,0,0,0,0,0,0,0,0,0,1,1,0
146078-XOF,2017,0,0,0,0,0,0,0,0,14,1,0,0
146080-POX,2017,0,0,0,0,0,0,0,0,1,1,0,0
146081-YOG,2017,0,0,0,0,0,0,0,0,2,3,0,3
146082-HOP,2017,0,0,0,0,0,0,0,0,1,0,0,0
146084-ZPH,2017,0,0,0,0,0,0,0,0,0,13,39,40
146087-API,2017,0,0,0,0,0,0,0,0,0,0,9,57
146091-KPS,2017,0,0,0,0,0,0,0,0,12,5,16,5
146092-TPB,2017,0,0,0,0,0,0,0,0,0,0,47,0
146101-WPE,2017,0,0,0,0,0,0,0,0,0,6,71,13
146106-PPX,2017,0,0,0,0,0,0,0,0,2,0,0,0
146108-HPP,2017,0,0,0,0,0,0,0,0,2,0,0,0
146109-QQY,2017,0,0,0,0,0,0,0,0,2,1,0,0
146110-ZQH,2017,0,0,0,0,0,0,0,0,3,0,0,0
146111-IQQ,2017,0,0,0,0,0,0,0,0,10,2,0,0
146116-BQJ,2017,0,0,0,0,0,0,0,0,0,0,0,1
146119-CQK,2017,0,0,0,0,0,0,0,0,0,0,0,4
146124-VQD,2017,0,0,0,0,0,0,0,0,33,15,11,1
146125-EQM,2017,0,0,0,0,0,0,0,0,8,0,0,0
146126-NQV,2017,0,0,0,0,0,0,0,0,1,2,11,0
146151-ERM,2017,0,0,0,0,0,0,0,0,2,1,6,1
146152-NRV,2017,0,0,0,0,0,0,0,0,5,4,73,8
146153-WRE,2017,0,0,0,0,0,0,0,0,0,0,2,1
146154-FRN,2017,0,0,0,0,0,0,0,0,2,8,6,4
146157-GRO,2017,0,0,0,0,0,0,0,0,4,4,19,2
146160-HSP,2017,0,0,0,0,0,0,0,0,0,0,0,60
146165-ASI,2017,0,0,0,0,0,0,0,0,0,44,98,2
146167-SSA,2017,0,0,0,0,0,0,0,0,0,0,56,6
146171-CSK,2017,0,0,0,0,0,0,0,0,0,0,0,11
146172-LST,2017,0,0,0,0,0,0,0,0,0,0,4,14
146173-USC,2017,0,0,0,0,0,0,0,0,36,41,75,1
146174-DSL,2017,0,0,0,0,0,0,0,0,28,10,60,0
146176-VSD,2017,0,0,0,0,0,0,0,0,9,1,0,0
146177-ESM,2017,0,0,0,0,0,0,0,0,0,0,0,32
146178-NSV,2017,0,0,0,0,0,0,0,0,2,4,8,7
146179-WSE,2017,0,0,0,0,0,0,0,0,0,0,1,74
146180-FSN,2017,0,0,0,0,0,0,0,0,0,0,101,4
146182-XSF,2017,0,0,0,0,0,0,0,0,18,8,64,173
146183-GSO,2017,0,0,0,0,0,0,0,0,5,3,19,6
146184-PSX,2017,0,0,0,0,0,0,0,0,0,0,0,18
146185-YSG,2017,0,0,0,0,0,0,0,0,0,0,7,76
146186-HTP,2017,0,0,0,0,0,0,0,0,0,0,6,33
